# RA = 11 04 27.30 (166.11375)
# Dec = +38 12 32.00 (38.208889)
# Redshift = 0.0
# nH = 1.34E20 cm^-2 
# NuBlazar (id = 116)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.7640E18     2.8050E17    1.6630E-11   5.1088E-12    57839.910497685    57840.639699074
1.0340E19     2.9500E17    1.9806E-11   5.9114E-12    57839.910497685    57840.639699074
1.0890E19     2.5870E17    2.7872E-11   7.7075E-12    57839.910497685    57840.639699074
# BeppoSAX Spectra (Giommi et al. 2002) (id = 115)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3950E17     2.0770E16    1.3665E-10   7.8618E-12    50569.13745    50569.61257
1.8830E17     2.8050E16    1.3231E-10   5.2986E-12    50569.13745    50569.61257
2.5420E17     3.7860E16    1.2801E-10   4.5958E-12    50569.13745    50569.61257
3.4320E17     5.1110E16    1.1696E-10   4.4475E-12    50569.13745    50569.61257
4.6330E17     6.9010E16    1.0488E-10   2.8152E-12    50569.13745    50569.61257
6.2550E17     9.3160E16    8.8421E-11   2.2462E-12    50569.13745    50569.61257
8.4440E17     1.2580E17    7.2995E-11   2.3614E-12    50569.13745    50569.61257
1.1400E18     1.6980E17    5.7982E-11   2.5232E-12    50569.13745    50569.61257
1.5390E18     2.2920E17    4.5200E-11   2.9633E-12    50569.13745    50569.61257
2.0780E18     3.0940E17    3.5261E-11   4.2710E-12    50569.13745    50569.61257
2.8050E18     4.1770E17    3.4097E-11   5.9665E-12    50569.13745    50569.61257
3.7870E18     5.6400E17    2.3764E-11   7.4040E-12    50569.13745    50569.61257
5.1120E18     7.6140E17    1.3121E-11   5.6114E-12    50569.13745    50569.61257
1.3950E17     2.0770E16    1.2152E-10   7.5656E-12    50568.13853    50568.61257
1.8830E17     2.8050E16    1.1975E-10   5.1653E-12    50568.13853    50568.61257
2.5420E17     3.7860E16    1.1276E-10   4.4159E-12    50568.13853    50568.61257
3.4320E17     5.1110E16    1.0242E-10   4.2636E-12    50568.13853    50568.61257
4.6330E17     6.9010E16    9.1837E-11   2.6236E-12    50568.13853    50568.61257
6.2550E17     9.3160E16    7.5065E-11   2.0579E-12    50568.13853    50568.61257
8.4440E17     1.2580E17    6.1312E-11   2.1533E-12    50568.13853    50568.61257
1.1400E18     1.6980E17    4.8420E-11   2.2970E-12    50568.13853    50568.61257
1.5390E18     2.2920E17    3.6566E-11   2.6480E-12    50568.13853    50568.61257
2.0780E18     3.0940E17    2.7242E-11   3.7938E-12    50568.13853    50568.61257
2.8050E18     4.1770E17    2.0942E-11   4.7456E-12    50568.13853    50568.61257
3.7870E18     5.6400E17    1.9813E-11   8.8386E-12    50568.13853    50568.61257
5.1120E18     7.6140E17    9.5194E-12   4.2269E-12    50568.13853    50568.61257
6.9010E18     1.0280E18    6.7267E-12   5.1925E-12    50568.13853    50568.61257
1.6860E17     2.4310E16    9.4074E-11   5.6775E-12    50572.14245    50572.40632
2.2540E17     3.2500E16    8.1026E-11   4.1163E-12    50572.14245    50572.40632
3.0140E17     4.3450E16    7.2742E-11   3.8160E-12    50572.14245    50572.40632
4.0290E17     5.8080E16    5.6103E-11   3.1906E-12    50572.14245    50572.40632
5.3860E17     7.7650E16    4.6724E-11   2.3201E-12    50572.14245    50572.40632
7.2010E17     1.0380E17    3.7001E-11   2.1553E-12    50572.14245    50572.40632
9.6270E17     1.3880E17    2.6832E-11   2.1507E-12    50572.14245    50572.40632
1.2870E18     1.8550E17    1.9270E-11   2.2791E-12    50572.14245    50572.40632
1.7210E18     2.4800E17    1.4851E-11   2.7725E-12    50572.14245    50572.40632
2.3000E18     3.3160E17    1.1000E-11   4.0123E-12    50572.14245    50572.40632
1.0130E17     1.5910E16    1.1084E-10   1.1759E-11    50573.14747    50573.40632
1.3910E17     2.1830E16    1.0962E-10   7.4741E-12    50573.14747    50573.40632
1.9090E17     2.9960E16    1.0979E-10   5.0636E-12    50573.14747    50573.40632
2.6190E17     4.1120E16    9.6034E-11   4.1529E-12    50573.14747    50573.40632
3.5950E17     5.6430E16    8.2534E-11   3.9594E-12    50573.14747    50573.40632
4.9330E17     7.7440E16    7.1766E-11   3.1859E-12    50573.14747    50573.40632
6.7710E17     1.0630E17    5.6580E-11   2.6164E-12    50573.14747    50573.40632
9.2920E17     1.4590E17    4.2829E-11   2.6717E-12    50573.14747    50573.40632
1.2750E18     2.0020E17    3.2066E-11   2.9465E-12    50573.14747    50573.40632
1.7500E18     2.7470E17    2.3772E-11   3.6065E-12    50573.14747    50573.40632
2.4020E18     3.7700E17    1.6916E-11   5.1022E-12    50573.14747    50573.40632
1.6860E17     2.4310E16    1.0529E-10   6.3803E-12    50571.14216    50571.40354
2.2540E17     3.2500E16    1.0391E-10   4.9696E-12    50571.14216    50571.40354
3.0140E17     4.3450E16    9.8872E-11   4.7578E-12    50571.14216    50571.40354
4.0290E17     5.8080E16    8.5049E-11   4.0364E-12    50571.14216    50571.40354
5.3860E17     7.7650E16    7.3457E-11   2.9654E-12    50571.14216    50571.40354
7.2010E17     1.0380E17    5.8814E-11   2.7687E-12    50571.14216    50571.40354
9.6270E17     1.3880E17    4.6299E-11   2.8817E-12    50571.14216    50571.40354
1.2870E18     1.8550E17    3.8159E-11   3.2714E-12    50571.14216    50571.40354
1.7210E18     2.4800E17    2.6532E-11   3.7358E-12    50571.14216    50571.40354
2.3000E18     3.3160E17    2.1595E-11   5.5379E-12    50571.14216    50571.40354
3.0750E18     4.4330E17    2.1230E-11   1.2858E-11    50571.14216    50571.40354
4.1110E18     5.9270E17    1.7060E-11   8.3319E-12    50571.14216    50571.40354
5.4960E18     7.9240E17    1.1979E-11   9.1382E-12    50571.14216    50571.40354
1.7730E17     2.5340E16    2.7444E-10   3.8104E-12    51673.16215    51676.33937
2.3650E17     3.3790E16    3.0498E-10   3.4496E-12    51673.16215    51676.33937
3.1530E17     4.5050E16    3.1634E-10   3.5381E-12    51673.16215    51676.33937
4.2040E17     6.0080E16    3.2758E-10   2.7283E-12    51673.16215    51676.33937
5.6060E17     8.0110E16    3.2565E-10   2.6301E-12    51673.16215    51676.33937
7.4750E17     1.0680E17    3.2072E-10   2.2650E-12    51673.16215    51676.33937
9.9680E17     1.4240E17    3.1235E-10   2.7080E-12    51673.16215    51676.33937
1.3290E18     1.8990E17    3.0504E-10   3.6290E-12    51673.16215    51676.33937
1.7720E18     2.5330E17    2.9206E-10   5.0670E-12    51673.16215    51676.33937
2.3630E18     3.3770E17    2.8053E-10   8.1894E-12    51673.16215    51676.33937
3.1510E18     4.5030E17    2.4203E-10   4.2741E-12    51673.16215    51676.33937
4.2020E18     6.0050E17    2.2633E-10   2.8939E-12    51673.16215    51676.33937
5.6030E18     8.0070E17    2.0103E-10   3.1753E-12    51673.16215    51676.33937
7.4720E18     1.0680E18    1.7092E-10   4.4067E-12    51673.16215    51676.33937
9.9630E18     1.4240E18    1.4839E-10   5.9527E-12    51673.16215    51676.33937
1.3280E19     1.8980E18    1.2623E-10   8.9504E-12    51673.16215    51676.33937
1.7710E19     2.5310E18    8.0833E-11   9.5255E-12    51673.16215    51676.33937
2.3620E19     3.3750E18    7.1796E-11   1.1499E-11    51673.16215    51676.33937
3.1500E19     4.5010E18    5.7304E-11   1.9823E-11    51673.16215    51676.33937
1.0570E17     1.6490E16    2.1709E-10   1.0742E-11    50924.07815    50925.13458
1.4480E17     2.2580E16    2.1526E-10   6.3065E-12    50924.07815    50925.13458
1.9830E17     3.0920E16    2.1451E-10   4.6153E-12    50924.07815    50925.13458
2.7160E17     4.2340E16    2.0751E-10   4.0938E-12    50924.07815    50925.13458
3.7190E17     5.7980E16    1.9127E-10   4.0518E-12    50924.07815    50925.13458
5.0920E17     7.9390E16    1.7044E-10   3.5686E-12    50924.07815    50925.13458
6.9740E17     1.0870E17    1.4553E-10   3.1680E-12    50924.07815    50925.13458
9.5490E17     1.4890E17    1.1840E-10   3.1528E-12    50924.07815    50925.13458
1.3080E18     2.0390E17    9.5931E-11   3.8651E-12    50924.07815    50925.13458
1.7910E18     2.7920E17    7.2636E-11   5.1181E-12    50924.07815    50925.13458
2.4520E18     3.8230E17    6.2610E-11   8.0042E-12    50924.07815    50925.13458
3.3580E18     5.2350E17    2.5838E-11   7.7641E-12    50924.07815    50925.13458
4.5990E18     7.1690E17    2.5669E-11   5.0278E-12    50924.07815    50925.13458
6.2970E18     9.8180E17    2.2017E-11   6.7268E-12    50924.07815    50925.13458
8.6230E18     1.3440E18    2.0682E-11   6.8697E-12    50924.07815    50925.13458
1.1810E19     1.8410E18    1.9296E-11   8.9184E-12    50924.07815    50925.13458
1.6170E19     2.5210E18    2.6615E-11   1.2502E-11    50924.07815    50925.13458
1.3950E17     2.0770E16    2.2181E-10   1.0168E-11    50986.30302    50987.09852
1.8830E17     2.8050E16    2.2970E-10   7.1319E-12    50986.30302    50987.09852
2.5420E17     3.7860E16    2.2822E-10   6.2857E-12    50986.30302    50987.09852
3.4320E17     5.1110E16    2.2250E-10   6.3020E-12    50986.30302    50987.09852
4.6330E17     6.9010E16    2.1141E-10   3.9655E-12    50986.30302    50987.09852
6.2550E17     9.3160E16    1.9118E-10   4.0048E-12    50986.30302    50987.09852
8.4440E17     1.2580E17    1.6720E-10   3.5686E-12    50986.30302    50987.09852
1.1400E18     1.6980E17    1.4428E-10   4.2425E-12    50986.30302    50987.09852
1.5390E18     2.2920E17    1.2237E-10   5.5256E-12    50986.30302    50987.09852
2.0780E18     3.0940E17    1.0208E-10   8.3187E-12    50986.30302    50987.09852
2.8050E18     4.1770E17    9.6359E-11   1.1996E-11    50986.30302    50987.09852
3.7870E18     5.6400E17    5.9571E-11   8.3832E-12    50986.30302    50987.09852
5.1120E18     7.6140E17    3.8715E-11   7.3071E-12    50986.30302    50987.09852
6.9010E18     1.0280E18    3.4930E-11   9.5540E-12    50986.30302    50987.09852
9.3160E18     1.3880E18    2.3513E-11   9.0173E-12    50986.30302    50987.09852
1.0570E17     1.6490E16    2.7281E-10   1.2563E-11    50926.01889    50927.27574
1.4480E17     2.2580E16    2.7722E-10   7.5155E-12    50926.01889    50927.27574
1.9830E17     3.0920E16    2.8960E-10   5.6571E-12    50926.01889    50927.27574
2.7160E17     4.2340E16    2.9534E-10   5.1610E-12    50926.01889    50927.27574
3.7190E17     5.7980E16    2.8323E-10   5.2405E-12    50926.01889    50927.27574
5.0920E17     7.9390E16    2.6697E-10   4.8317E-12    50926.01889    50927.27574
6.9740E17     1.0870E17    2.3872E-10   4.3881E-12    50926.01889    50927.27574
9.5490E17     1.4890E17    2.0487E-10   4.4879E-12    50926.01889    50927.27574
1.3080E18     2.0390E17    1.7373E-10   5.6112E-12    50926.01889    50927.27574
1.7910E18     2.7920E17    1.4627E-10   7.8279E-12    50926.01889    50927.27574
2.4520E18     3.8230E17    1.2878E-10   1.2080E-11    50926.01889    50927.27574
3.3580E18     5.2350E17    8.6974E-11   1.0381E-11    50926.01889    50927.27574
4.5990E18     7.1690E17    6.1555E-11   6.7861E-12    50926.01889    50927.27574
6.2970E18     9.8180E17    3.6709E-11   9.0295E-12    50926.01889    50927.27574
8.6230E18     1.3440E18    3.6180E-11   1.2949E-11    50926.01889    50927.27574
1.0570E17     1.6490E16    1.9889E-10   8.0292E-12    51302.76176    51306.14015
1.4480E17     2.2580E16    1.8791E-10   4.4619E-12    51302.76176    51306.14015
1.9830E17     3.0920E16    1.7989E-10   3.1882E-12    51302.76176    51306.14015
2.7160E17     4.2340E16    1.6734E-10   2.7648E-12    51302.76176    51306.14015
3.7190E17     5.7980E16    1.4244E-10   2.4814E-12    51302.76176    51306.14015
5.0920E17     7.9390E16    1.2157E-10   1.7201E-12    51302.76176    51306.14015
6.9740E17     1.0870E17    9.8150E-11   1.4882E-12    51302.76176    51306.14015
9.5490E17     1.4890E17    7.3419E-11   1.4236E-12    51302.76176    51306.14015
1.3080E18     2.0390E17    5.4781E-11   1.6807E-12    51302.76176    51306.14015
1.7910E18     2.7920E17    3.9525E-11   2.1793E-12    51302.76176    51306.14015
2.4520E18     3.8230E17    2.9457E-11   3.1649E-12    51302.76176    51306.14015
3.3580E18     5.2350E17    1.1883E-11   3.7235E-12    51302.76176    51306.14015
4.5990E18     7.1690E17    1.0645E-11   2.3889E-12    51302.76176    51306.14015
6.2970E18     9.8180E17    1.0127E-11   3.1518E-12    51302.76176    51306.14015
8.6230E18     1.3440E18    6.6007E-12   3.2098E-12    51302.76176    51306.14015
1.6170E19     2.5210E18    6.9976E-12   3.8849E-12    51302.76176    51306.14015
1.7730E17     2.5340E16    3.0672E-10   4.4636E-12    51660.73374    51662.97052
2.3650E17     3.3790E16    3.4941E-10   4.1019E-12    51660.73374    51662.97052
3.1530E17     4.5050E16    3.7025E-10   4.2559E-12    51660.73374    51662.97052
4.2040E17     6.0080E16    3.9337E-10   4.1601E-12    51660.73374    51662.97052
5.6060E17     8.0110E16    3.9676E-10   4.3891E-12    51660.73374    51662.97052
7.4750E17     1.0680E17    3.9393E-10   3.7955E-12    51660.73374    51662.97052
9.9680E17     1.4240E17    3.8953E-10   4.5718E-12    51660.73374    51662.97052
1.3290E18     1.8990E17    3.8237E-10   6.1371E-12    51660.73374    51662.97052
1.7720E18     2.5330E17    3.7311E-10   8.6457E-12    51660.73374    51662.97052
2.3630E18     3.3770E17    3.5985E-10   1.3986E-11    51660.73374    51662.97052
3.1510E18     4.5030E17    3.1129E-10   6.6224E-12    51660.73374    51662.97052
4.2020E18     6.0050E17    2.8923E-10   4.5062E-12    51660.73374    51662.97052
5.6030E18     8.0070E17    2.5769E-10   4.9358E-12    51660.73374    51662.97052
7.4720E18     1.0680E18    2.2551E-10   6.8151E-12    51660.73374    51662.97052
9.9630E18     1.4240E18    1.9997E-10   9.1346E-12    51660.73374    51662.97052
1.3280E19     1.8980E18    1.6986E-10   1.3668E-11    51660.73374    51662.97052
1.7710E19     2.5310E18    1.6758E-10   1.4570E-11    51660.73374    51662.97052
2.3620E19     3.3750E18    1.2258E-10   1.7564E-11    51660.73374    51662.97052
3.1500E19     4.5010E18    7.5320E-11   3.0269E-11    51660.73374    51662.97052
4.2000E19     6.0010E18    4.9685E-11   5.0594E-11    51660.73374    51662.97052
1.7730E17     2.5340E16    3.0553E-10   3.9863E-12    51664.12794    51667.09238
2.3650E17     3.3790E16    3.4100E-10   3.6255E-12    51664.12794    51667.09238
3.1530E17     4.5050E16    3.6429E-10   3.7787E-12    51664.12794    51667.09238
4.2040E17     6.0080E16    3.8917E-10   5.0471E-12    51664.12794    51667.09238
5.6060E17     8.0110E16    3.9013E-10   5.7440E-12    51664.12794    51667.09238
7.4750E17     1.0680E17    3.8801E-10   4.9721E-12    51664.12794    51667.09238
9.9680E17     1.4240E17    3.8133E-10   5.9704E-12    51664.12794    51667.09238
1.3290E18     1.8990E17    3.6913E-10   7.9672E-12    51664.12794    51667.09238
1.7720E18     2.5330E17    3.5008E-10   1.1049E-11    51664.12794    51667.09238
2.3630E18     3.3770E17    3.3330E-10   1.7788E-11    51664.12794    51667.09238
3.1510E18     4.5030E17    2.7250E-10   6.5155E-12    51664.12794    51667.09238
4.2020E18     6.0050E17    2.5949E-10   4.3988E-12    51664.12794    51667.09238
5.6030E18     8.0070E17    2.1681E-10   4.8060E-12    51664.12794    51667.09238
7.4720E18     1.0680E18    1.8493E-10   6.6665E-12    51664.12794    51667.09238
9.9630E18     1.4240E18    1.4876E-10   8.9809E-12    51664.12794    51667.09238
1.3280E19     1.8980E18    1.2882E-10   1.3506E-11    51664.12794    51667.09238
1.7710E19     2.5310E18    1.0776E-10   1.4367E-11    51664.12794    51667.09238
2.3620E19     3.3750E18    8.2101E-11   1.7311E-11    51664.12794    51667.09238
3.1500E19     4.5010E18    6.4096E-11   2.9933E-11    51664.12794    51667.09238
1.3950E17     2.0770E16    1.5591E-10   1.2914E-11    50570.17399    50570.40354
1.8830E17     2.8050E16    1.5481E-10   8.8561E-12    50570.17399    50570.40354
2.5420E17     3.7860E16    1.5303E-10   7.7722E-12    50570.17399    50570.40354
3.4320E17     5.1110E16    1.3477E-10   7.3891E-12    50570.17399    50570.40354
4.6330E17     6.9010E16    1.2883E-10   4.5005E-12    50570.17399    50570.40354
6.2550E17     9.3160E16    1.0814E-10   3.5835E-12    50570.17399    50570.40354
8.4440E17     1.2580E17    9.0174E-11   3.7904E-12    50570.17399    50570.40354
1.1400E18     1.6980E17    7.1824E-11   4.0483E-12    50570.17399    50570.40354
1.5390E18     2.2920E17    5.6287E-11   4.7670E-12    50570.17399    50570.40354
2.0780E18     3.0940E17    4.1315E-11   6.6992E-12    50570.17399    50570.40354
2.8050E18     4.1770E17    3.6840E-11   8.9195E-12    50570.17399    50570.40354
3.7870E18     5.6400E17    3.3780E-11   1.0633E-11    50570.17399    50570.40354
6.9010E18     1.0280E18    2.0808E-11   6.2865E-12    50570.17399    50570.40354
1.3950E17     2.0770E16    1.1655E-10   7.2529E-12    50567.16837    50567.61257
1.8830E17     2.8050E16    1.1313E-10   4.9025E-12    50567.16837    50567.61257
2.5420E17     3.7860E16    1.0834E-10   4.2297E-12    50567.16837    50567.61257
3.4320E17     5.1110E16    9.6747E-11   4.0543E-12    50567.16837    50567.61257
4.6330E17     6.9010E16    9.1777E-11   2.6584E-12    50567.16837    50567.61257
6.2550E17     9.3160E16    7.6166E-11   2.1022E-12    50567.16837    50567.61257
8.4440E17     1.2580E17    6.0592E-11   2.1726E-12    50567.16837    50567.61257
1.1400E18     1.6980E17    4.9873E-11   2.3638E-12    50567.16837    50567.61257
1.5390E18     2.2920E17    3.8562E-11   2.7598E-12    50567.16837    50567.61257
2.0780E18     3.0940E17    2.8525E-11   3.9075E-12    50567.16837    50567.61257
2.8050E18     4.1770E17    2.1966E-11   4.9072E-12    50567.16837    50567.61257
